,1,2,3,4
4436,0.0,1.0,0.0,0.0
4437,0.25,0.25,0.25,0.25
4438,0.25,0.25,0.25,0.25
4439,0.25,0.25,0.25,0.25
4440,0.25,0.25,0.25,0.25
4441,0.25,0.25,0.25,0.25
4442,0.25,0.25,0.25,0.25
4443,0.25,0.25,0.25,0.25
4444,0.25,0.25,0.25,0.25
4445,0.25,0.25,0.25,0.25
4446,0.25,0.25,0.25,0.25
4447,0.25,0.25,0.25,0.25
4448,0.25,0.25,0.25,0.25
4449,0.25,0.25,0.25,0.25
4450,0.25,0.25,0.25,0.25
4451,0.25,0.25,0.25,0.25
4452,0.0,1.0,0.0,0.0
4453,0.25,0.25,0.25,0.25
4454,0.25,0.25,0.25,0.25
4455,0.25,0.25,0.25,0.25
