,1,2
991,1.0,0.0
992,0.0,1.0
993,1.0,0.0
994,0.0,1.0
995,0.0,1.0
996,0.964021064627699,0.03597893537230101
997,0.03597893537230101,0.964021064627699
998,0.964021064627699,0.03597893537230101
999,0.03597893537230101,0.964021064627699
1000,0.964021064627699,0.03597893537230101
1001,0.03597893537230101,0.964021064627699
1002,0.964021064627699,0.03597893537230101
1003,0.03597893537230101,0.964021064627699
1004,0.964021064627699,0.03597893537230101
1005,0.03597893537230101,0.964021064627699
1006,0.8130342163780979,0.18696578362190208
1007,0.18696578362190208,0.8130342163780979
1008,0.8130342163780979,0.18696578362190208
1009,0.18696578362190208,0.8130342163780979
1010,0.8130342163780979,0.18696578362190208
