,diff
4386,0.0008979839082771891
4387,0.030358350379063103
4388,0.10758498916403635
4389,0.09540112315483922
4390,0.046728558154608905
4391,0.0038839957238629486
4392,0.023281385191940736
4393,0.7281042575592013
4394,0.0
4395,0.1196756538266272
4396,0.0007591853587294477
4397,0.009934438690064449
4398,0.08096297148868195
4399,0.5
4400,0.00024714605912014005
4401,0.00603212444371919
4402,0.061165281089943326
4403,0.08166453430557616
4404,0.0
4405,0.0009026076062172151
4406,0.07482878306189421
4407,0.004858258508455697
4408,0.12193702473944049
4409,0.2591945830123421
4410,0.0005367920090286132
4411,0.0006537185625249659
4412,0.0015504041798826865
4413,0.013885975036235784
4414,0.0007592728248464002
4415,0.016181577533230365
4416,0.023979368563569067
4417,0.03518221796847345
4418,0.11323176606992413
4419,0.031528109541729486
4420,0.0031803178904421807
4421,0.035369439524242104
4422,0.08103475251855836
4423,0.0012985025945825611
4424,0.32144539490652796
4425,0.00035544405122693004
4426,0.0893971314832523
4427,0.0893971314832523
4428,0.0893971314832523
4429,0.0893971314832523
4430,0.0893971314832523
4431,0.0893971314832523
4432,0.0893971314832523
4433,0.5
4434,0.0893971314832523
4435,0.0
